date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2015/02/25,5802233,2744355078,473.00,476.00,470.50,473.50,+3.50,3951
2015/02/26,7115248,3368158254,476.00,476.00,470.50,473.00,-0.50,3614
2015/03/02,5540011,2634602239,476.00,477.00,474.00,477.00,+4.00,3311
2015/03/03,3859928,1838597656,479.00,480.00,473.00,478.50,+1.50,2638
2015/03/04,4154957,1982630762,478.00,480.00,475.00,475.50,-3.00,2320
2015/03/05,5255769,2499915567,478.00,478.00,474.50,475.50, 0.00,2487
2015/03/06,8090203,3805487567,470.50,473.00,467.00,470.50,-5.00,3390
2015/03/09,8322437,3843382046,465.00,467.00,459.00,460.00,-10.50,5007
2015/03/10,7335487,3374147421,456.00,462.50,456.00,460.00, 0.00,4174
2015/03/11,6216193,2828362988,455.00,457.50,453.50,453.50,-6.50,3656
2015/03/12,6251959,2831068845,449.50,458.50,449.00,453.50, 0.00,3681
2015/03/13,6118848,2760122752,458.00,458.00,448.00,448.00,-5.50,4215
2015/03/16,13745775,5996609759,444.50,446.00,432.00,432.00,-16.00,9182
2015/03/17,13175993,5676217440,430.00,435.00,426.00,430.00,-2.00,7793
2015/03/18,9847469,4302590984,433.00,441.50,432.00,435.50,+5.50,5637
2015/03/19,6417172,2796286057,438.00,440.50,434.00,434.00,-1.50,3554
2015/03/20,10080757,4394951809,430.00,442.00,430.00,436.00,+2.00,5576
2015/03/23,7076225,3101703775,438.50,441.00,435.50,438.50,+2.50,4014
2015/03/24,11759317,5253325199,441.00,451.00,439.00,446.00,+7.50,6761
2015/03/25,9007853,4017895021,450.00,453.00,439.50,443.00,-3.00,4720
2015/03/26,11992919,5248711920,435.00,440.50,432.00,440.00,-3.00,6296
2015/03/27,15619099,6675506535,435.00,437.00,417.50,419.00,-21.00,8780
2015/03/30,9180913,3842894960,421.50,423.00,415.50,418.00,-1.00,5390
2015/03/31,7129938,3016511660,425.00,426.50,420.00,423.50,+5.50,4071
2015/04/01,5410860,2272335420,426.00,426.00,416.50,419.50,-4.00,3114
2015/04/02,10015030,4150228450,418.50,421.00,409.00,412.00,-7.50,6563
2015/04/07,14746332,6172420612,412.00,422.50,412.00,421.00,+9.00,6144
2015/04/08,8154587,3431627594,426.50,426.50,418.00,421.00, 0.00,4084
2015/04/09,6217575,2637786430,426.00,427.50,421.00,422.00,+1.00,4073
2015/04/10,7576069,3207417187,429.00,429.00,420.00,421.50,-0.50,4872
2015/04/13,4214153,1769275815,420.00,422.00,418.00,419.50,-2.00,2518
2015/04/14,8334755,3475995335,420.00,420.50,414.00,415.00,-4.50,5164
2015/04/15,14709861,5922740261,410.00,411.00,398.50,398.50,-16.50,9910
2015/04/16,15694677,6385393310,401.00,409.50,401.00,409.00,+10.50,5129
2015/04/17,8433435,3391940553,404.00,406.00,400.50,401.00,-8.00,4622
2015/04/20,9906188,3904736012,397.00,401.00,390.00,390.00,-11.00,5898
2015/04/21,8698771,3416363274,391.00,396.50,391.00,391.00,+1.00,5687
2015/04/22,9605766,3840792322,393.00,404.00,393.00,402.00,+11.00,5791
2015/04/23,7141616,2887239505,404.00,407.50,402.00,403.00,+1.00,4979
2015/04/24,15978162,6673502540,406.00,426.50,406.00,419.00,+16.00,9961
2015/04/27,7463374,3089669588,419.00,424.00,410.00,410.50,-8.50,5398
2015/04/28,10064137,4057208300,415.00,415.00,398.50,399.00,-11.50,7382
