date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2017/1/13,22849300,1923697754,84.3,84.4,83.9,84.2,-0.1,8941
2017/1/16,16511152,1379370729,84,84,83.5,83.5,-0.7,7378
2017/1/17,14589273,1222155239,83.8,84,83.5,84,0.5,8228
2017/1/18,19363976,1622184471,84,84.1,83.3,83.3,-0.7,8782
2017/1/19,25925225,2163893353,83.3,83.8,83,83.5,0.2,7824
2017/1/20,20360487,1702872266,84,84,83.4,83.4,-0.1,7397
2017/1/23,27882026,2334639337,83.5,84,83.4,84,0.6,10370
2017/1/24,25450490,2131316435,83.6,84,83.6,83.7,-0.3,9903
2017/2/2,76617425,6472870782,85.7,85.7,83.2,84.1,0.4,24016
2017/2/3,42945286,3593104469,83.8,84.1,83.5,83.7,-0.4,12623
2017/2/6,46842855,3962892826,84.2,85,84,85,1.3,17113
2017/2/7,59870842,5110915805,85.5,85.8,84.6,85.8,0.8,25510
2017/2/8,102312901,8910275137,86,87.5,85.8,87.5,1.7,42662
2017/2/9,96976966,8569636686,88,88.9,87.7,88.9,1.4,39691
2017/2/10,83062758,7412105000,89,89.8,88.5,89.1,0.2,29589
2017/2/13,53359488,4778802967,89.4,89.9,88.8,89.9,0.8,23985
2017/2/14,74367260,6710505927,90.6,90.7,89.6,90,0.1,27450
2017/2/15,75728893,6864474320,90.5,91,90.1,90.9,0.9,34106
2017/2/16,48156002,4374391419,91.5,91.8,90,91,0.1,22560
2017/2/17,30377696,2743524430,90.4,90.9,90,90,-1,13910
2017/2/18,11328885,1018267228,90,90.3,89.6,89.9,-0.1,6379
2017/2/20,27647407,2488888596,90,90.2,89.8,90.1,0.2,11128
2017/2/21,34779702,3138985880,91,91,89.8,90.5,0.4,14733
2017/2/22,28270434,2553170679,90.7,90.9,90,90.5,0,12293
2017/2/23,34602145,3107744965,89.8,90.7,89.8,90.3,-0.2,15393
2017/2/24,31979264,2868819560,89.8,90.3,89.5,89.5,-0.8,11226
2017/3/1,31754685,2843694825,90.4,90.4,89,89,-0.5,12438
2017/3/2,34409022,3078002774,90.1,90.3,88.8,89.6,0.6,14812
2017/3/3,30052960,2678443882,89.7,89.7,88.6,88.8,-0.8,13828
2017/3/6,18565873,1658642390,88.8,89.9,88.5,89.9,1.1,9788
2017/3/7,30330547,2737855930,89.9,90.7,89.6,90.5,0.6,12023
2017/3/8,35419144,3211508172,90.8,91,90.1,90.7,0.2,16612
2017/3/9,34394387,3082605966,90.2,90.3,89.3,89.3,-1.4,16129
2017/3/10,37663397,3343082943,88.9,90,88,89.9,0.6,18104
2017/3/13,15412711,1385569944,90.2,90.2,89.5,90,0.1,8214
2017/3/14,20693907,1866210292,90,90.5,89.9,90,0,9241
2017/3/15,17686039,1594078973,89.9,90.4,89.7,90.1,0.1,7119
2017/3/16,38964860,3541630968,90.5,91.4,90.4,90.9,0.8,16018
2017/3/17,46804330,4271848230,91.3,91.4,91,91.4,0.5,15014
2017/3/20,17142588,1563641403,91.3,91.4,90.9,91.3,-0.1,7780
2017/3/21,30747643,2814560813,91.3,91.8,91.3,91.5,0.2,13482
2017/3/22,24413564,2221365653,90.8,91.5,90.5,91.5,0,11261
2017/3/23,17899814,1634367031,91.7,91.7,90.8,91.3,-0.2,7767
