代號,產業別,名稱,發行張數
2406,光電業,國碩,285905
2408,半導體業,南亞科,3092611
2409,光電業,友達,9624245
2412,通信網路業,中華電,7757446
2413,電子零組件業,環科,127359
2414,電子通路業,精技,161735
2415,電子零組件業,錩新,80000
2417,電腦及週邊設備業,圓剛,192892
2419,通信網路業,仲琦,228986
2420,電子零組件業,新巨,152648
2421,電子零組件業,建準,250929
2423,其他電子業,固緯,145047
2424,電腦及週邊設備業,隴華,30000
2425,電腦及週邊設備業,承啟,101498
2426,光電業,鼎元,300622
2427,資訊服務業,三商電,184314
2428,電子零組件業,興勤,128112
2429,電子零組件業,銘旺科,27011
2430,電子通路業,燦坤,166468
2431,電子零組件業,聯昌,110927
2433,其他電子業,互盛電,144496
2434,半導體業,統懋,17000
2436,半導體業,偉詮,178009
2438,光電業,翔耀,95215
2439,通信網路業,美律,208938
2440,電子零組件業,太空梭,139117
2441,半導體業,超豐,568845
2442,電腦及週邊設備業,新美齊,266780
2443,其他業,億麗,145687
2444,通信網路業,友旺,105557
2448,光電業,晶電,1088701
2449,半導體業,京元電,1222745
2450,通信網路業,神腦,258252
2451,半導體業,創見,429061
2453,資訊服務業,凌群,100000
2454,半導體業,聯發科,1588766
2455,通信網路業,全新,184905
2456,電子零組件業,奇力新,256548
2457,電子零組件業,飛宏,337688
2458,半導體業,義隆電,303880
2459,電子通路業,敦吉,105595
2460,電子零組件業,建通,169200
2461,其他電子業,光群雷,159324
2462,電子零組件業,良得,113934
2464,其他電子業,盟立,195531
2465,電腦及週邊設備業,麗台,53587
2466,光電業,冠西電,156334
2467,電子零組件業,志聖,149205
2468,資訊服務業,華經,69961
2471,資訊服務業,資通,47253
2472,電子零組件業,立隆,129219
2474,其他電子業,可成,761618
2476,電子零組件業,鉅祥,184968
2477,其他電子業,美隆電,198216
2478,電子零組件業,大毅,144767
2480,資訊服務業,敦陽科,106360
2481,半導體業,強茂,332814
2482,其他電子業,連宇,62072
2483,電子零組件業,百容,110618
2484,電子零組件業,希華,159421
2485,通信網路業,兆赫,317689
2486,光電業,一詮,201958
2488,其他電子業,漢平,79999
2489,光電業,瑞軒,809362
2491,光電業,吉祥全,62000
2492,電子零組件業,華新科,485800
2493,電子零組件業,揚博,114437
2495,其他電子業,普安,273551
2496,其他業,卓越,19185
2497,汽車工業,怡利電,118798
2498,通信網路業,宏達電,818644
2501,建材營造業,國建,1159561
2504,建材營造業,國產,1378809
2505,建材營造業,國揚,696582
2506,建材營造業,太設,387000
2509,建材營造業,全坤興,224550
2511,建材營造業,太子,1623326
2514,其他業,龍邦,394729
2515,建材營造業,中工,1530899
2516,建材營造業,新建,226278
2520,建材營造業,冠德,503791
2524,建材營造業,京城,374846
2527,建材營造業,宏璟,270306
2528,建材營造業,皇普,182085
2530,建材營造業,華建,270752
2534,建材營造業,宏盛,592784
2535,建材營造業,達欣工,321185
2536,建材營造業,宏普,332808
2537,建材營造業,聯上發,300557
2538,建材營造業,基泰,438448
2539,建材營造業,櫻花建,556679
2540,建材營造業,金尚昌,146600
2542,建材營造業,興富發,1283291
2543,建材營造業,皇昌,241983
2545,建材營造業,皇翔,327734
2546,建材營造業,根基,106035
2547,建材營造業,日勝生,900094
2548,建材營造業,華固,276812
2597,建材營造業,潤弘,135000
2601,貿易百貨業,益航,630883
2603,航運業,長榮海,4812973
2605,航運業,新興,585353
2606,航運業,裕民,845055
2607,航運業,榮運,1067141
2608,航運業,大榮,467000
2609,航運業,陽明,2065271
2610,航運業,華航,5420984
2611,航運業,志信,172994
2612,航運業,中航,197484
2613,航運業,中櫃,148423
2614,貿易百貨業,東森,556789
2615,航運業,萬海,2218297
2616,油電燃氣業,山隆,137281
2617,航運業,台航,417294
2618,航運業,長榮航,4853569
2630,航運業,亞航,120120
2633,航運業,高鐵,2628293
2634,航運業,漢翔,941867
2636,航運業,台驊投控,117157
2637,航運業,慧洋-KY,746384
2642,航運業,宅配通,95467
2701,觀光事業,萬企,449967
2702,觀光事業,華園,110485
2704,觀光事業,國賓,366923
2705,觀光事業,六福,186536
2706,觀光事業,第一店,499998
2707,觀光事業,晶華,127401
2712,觀光事業,悅來,105000
2722,觀光事業,夏都,111522
2723,觀光事業,美食-KY,180000
